Item Status,Item,Cert Number,Grade Issuer,Grade,Autograph Grade,Year,Set,Card Number,Subject,Variety,Serial,Category,My Cost,PSA Estimate,Gain/Loss,My Value,Date Acquired,Source,My Notes,Vault Status,Vaulted Date,Days Vaulted,Listing Status,Listing Date,Listing Price,Sold Status,Sold On,Sold Date,Sold Price,Sold Fees,Sold Proceeds,Payment Date
Active,2023 PANINI PRIZM MONOPOLY #2 AARON GORDON GOLD MILLIONAIRE SHIMMER 434/500,97403273,PSA,10,-,2023,PANINI PRIZM MONOPOLY,2,AARON GORDON,GOLD MILLIONAIRE SHIMMER,434/500,-,20,-,-,-,10/31/2024,eBay,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI SELECT #166 JAMAL MURRAY GOLD DISCO 8/10,97403265,PSA,10,-,2023,PANINI SELECT,166,JAMAL MURRAY,GOLD DISCO,8/10,-,30,-,-,-,10/31/2024,eBay,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI THREADS #168 JAMAL MURRAY,97403269,PSA,9,-,2016,PANINI THREADS,168,JAMAL MURRAY,-,-,-,15,14.96,-0.03999999999999915,-,10/31/2024,eBay,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI AFICIONADO #75 JAMAL MURRAY,97403268,PSA,9,-,2016,PANINI AFICIONADO,75,JAMAL MURRAY,-,-,-,15,15.95,0.9499999999999993,-,10/31/2024,eBay,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI COURT KINGS #157 JAMAL MURRAY,97403267,PSA,8,-,2016,PANINI COURT KINGS,157,JAMAL MURRAY,-,-,-,20,75.13,55.129999999999995,-,10/31/2024,eBay,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI REVOLUTION ROOKIE REVOLUTION #8 JAMAL MURRAY,97403266,PSA,8,-,2016,PANINI REVOLUTION ROOKIE REVOLUTION,8,JAMAL MURRAY,-,-,-,17,8.73,-8.27,-,10/31/2024,eBay,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI EXCALIBUR #45 JAMAL MURRAY,97403270,PSA,9,-,2016,PANINI EXCALIBUR,45,JAMAL MURRAY,-,-,-,15,12.12,-2.880000000000001,-,10/31/2024,eBay,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI COMPLETE #231 JAMAL MURRAY SILVER,97403312,PSA,8,-,2016,PANINI COMPLETE,231,JAMAL MURRAY,SILVER,-,-,18,-,-,-,10/31/2024,eBay,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2019 PANINI COURT KINGS #64 SHAI GILGEOUS-ALEXANDER,97403301,PSA,9,-,2019,PANINI COURT KINGS,64,SHAI GILGEOUS-ALEXANDER,-,-,-,20,53.43,33.43,-,10/31/2024,eBay,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,1993 STADIUM CLUB #1 MICHAEL JORDAN,97403311,PSA,9,-,1993,STADIUM CLUB,1,MICHAEL JORDAN,-,-,-,15,40.43,25.43,-,10/31/2024,Other auction / marketplace,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2017 PANINI DONRUSS OPTIC #172 DERRICK WHITE RED/YELLOW,97403306,PSA,9,-,2017,PANINI DONRUSS OPTIC,172,DERRICK WHITE,RED/YELLOW,-,-,23,16.07,-6.93,-,10/31/2024,eBay,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 TOPPS NOW OLYMPIC GAMES #4 LeBRON JAMES,97403307,PSA,10,-,2024,TOPPS NOW OLYMPIC GAMES,4,LeBRON JAMES,-,-,-,20,35.87,15.869999999999997,-,10/31/2024,Other auction / marketplace,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2020 PANINI SELECT #289 TYRESE HALIBURTON RED/WHITE/ORANGE SHIMMER,97403293,PSA,10,-,2020,PANINI SELECT,289,TYRESE HALIBURTON,RED/WHITE/ORANGE SHIMMER ,-,-,15,47.62,32.62,-,10/31/2024,Other auction / marketplace,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI PRIZM #100 PAOLO BANCHERO RED WHITE BLUE,97403289,PSA,9,-,2023,PANINI PRIZM,100,PAOLO BANCHERO,RED WHITE BLUE,-,-,18,8.07,-9.93,-,10/31/2024,eBay,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2014 SCHOOLSHOP ABA LIGA #128 2014/15 MEGA VIZURA,97403264,PSA,5,-,2014,SCHOOLSHOP ABA LIGA,128,2014/15 MEGA VIZURA,-,-,-,30,6.9,-23.1,-,10/31/2024,eBay,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2014 SCHOOLSHOP ABA LIGA #129 NIKOLA JOKIC,97403261,PSA,5,-,2014,SCHOOLSHOP ABA LIGA,129,NIKOLA JOKIC,-,-,-,25,16.47,-8.530000000000001,-,10/31/2024,eBay,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN #67 JAMAL MURRAY ELECTRIC ETCH RED 2/5,97403277,PSA,8,-,2022,PANINI OBSIDIAN,67,JAMAL MURRAY,ELECTRIC ETCH RED,2/5,-,70,-,-,-,10/31/2024,eBay,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN #111 NIKOLA JOKIC ELECTRIC ETCH RED 3/5,97403278,PSA,10,-,2022,PANINI OBSIDIAN,111,NIKOLA JOKIC,ELECTRIC ETCH RED,3/5,-,90,-,-,-,10/31/2024,eBay,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN #165 CHRISTIAN BRAUN ELECTRIC ETCH LUCKY ENVELOPES 6/8,97403282,PSA,10,-,2022,PANINI OBSIDIAN,165,CHRISTIAN BRAUN,ELECTRIC ETCH LUCKY ENVELOPES,6/8,-,80,-,-,-,10/31/2024,eBay,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN #195 PEYTON WATSON ELECTRIC ETCH LUCKY ENVELOPES 7/8,97403283,PSA,9,-,2022,PANINI OBSIDIAN,195,PEYTON WATSON,ELECTRIC ETCH LUCKY ENVELOPES,7/8,-,25,46.44,21.439999999999998,-,10/31/2024,eBay,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN #94 AARON GORDON ELECTRIC ETCH LUCKY ENVELOPES 5/8,97403284,PSA,9,-,2022,PANINI OBSIDIAN,94,AARON GORDON,ELECTRIC ETCH LUCKY ENVELOPES,5/8,-,25,-,-,-,10/31/2024,eBay,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN #67 JAMAL MURRAY ELECTRIC ETCH LUCKY ENVELOPES 3/8,97403279,PSA,9,-,2022,PANINI OBSIDIAN,67,JAMAL MURRAY,ELECTRIC ETCH LUCKY ENVELOPES,3/8,-,60,-,-,-,10/31/2024,eBay,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN #111 NIKOLA JOKIC ELECTRIC ETCH LUCKY ENVELOPES 1/8,97403281,PSA,8,-,2022,PANINI OBSIDIAN,111,NIKOLA JOKIC,ELECTRIC ETCH LUCKY ENVELOPES,1/8,-,80,99.91,19.909999999999997,-,10/31/2024,eBay,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN #46 MICHAEL PORTER JR. ELECTRIC ETCH LUCKY ENVELOPES 2/8,97403280,PSA,9,-,2022,PANINI OBSIDIAN,46,MICHAEL PORTER JR.,ELECTRIC ETCH LUCKY ENVELOPES,2/8,-,60,-,-,-,10/31/2024,eBay,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 LEAF WEB EXCLUSIVES #6 NIKOLA JOKIC ANIME NATION SERIES 2-PURPLE 36/49,93319980,PSA,9,-,2024,LEAF WEB EXCLUSIVES,6,NIKOLA JOKIC,ANIME NATION SERIES 2-PURPLE,36/49,-,33,38.16,5.159999999999997,-,11/04/2024,eBay,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI REVOLUTION #130 JAMAL MURRAY ASTRO,86766745,PSA,10,-,2016,PANINI REVOLUTION,130,JAMAL MURRAY,ASTRO,-,-,20,26.92,6.920000000000002,-,11/04/2024,eBay,"
",Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION ARTISTIC SELECTION #AS1 CAITLIN CLARK,98222681,PSA,10,-,2024,PANINI CAITLIN CLARK COLLECTION ARTISTIC SELECTION,AS1,CAITLIN CLARK,-,-,-,50,58.89,8.89,-,11/19/2024,eBay,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN #67 JAMAL MURRAY ELECTRIC ETCH GREEN 10/25,95540185,PSA,7,-,2022,PANINI OBSIDIAN,67,JAMAL MURRAY,ELECTRIC ETCH GREEN,10/25,-,10,5.44,-4.56,-,12/01/2024,eBay,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI SELECT #169 NIKOLA JOKIC DIE-CUT WHITE PRIZM 100/149,100135572,PSA,10,-,2023,PANINI SELECT,169,NIKOLA JOKIC,DIE-CUT WHITE PRIZM,100/149,-,38,49.81,11.810000000000002,-,12/12/2024,eBay,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI SPECTRA #170 CHRISTIAN BRAUN CELESTIAL 81/149,85273380,PSA,9,-,2022,PANINI SPECTRA,170,CHRISTIAN BRAUN,CELESTIAL,81/149,-,50,41.48,-8.520000000000003,-,12/12/2024,eBay,includes shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI PRIZM MONOPOLY MILLIONAIRE BLACK #B9 NIKOLA JOKIC,100717954,PSA,9,-,2023,PANINI PRIZM MONOPOLY MILLIONAIRE BLACK,B9,NIKOLA JOKIC,-,-,-,50,164.47,114.47,-,12/13/2024,eBay,personally graded,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI MOSAIC #47 NIKOLA JOKIC WHITE 11/25,100717956,PSA,8,-,2023,PANINI MOSAIC,47,NIKOLA JOKIC,WHITE,11/25,-,20,39.63,19.630000000000003,-,12/13/2024,eBay,personally graded,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI MOSAIC JAM MASTERS #3 VICTOR WEMBANYAMA MOSAIC,100717955,PSA,9,-,2023,PANINI MOSAIC JAM MASTERS,3,VICTOR WEMBANYAMA,MOSAIC,-,-,16,41.15,25.15,-,12/13/2024,Break,personally graded,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI HAUNTED HOOPS #108 VICTOR WEMBANYAMA SLIME,100717953,PSA,10,-,2023,PANINI HAUNTED HOOPS,108,VICTOR WEMBANYAMA,SLIME,-,-,16,64.07,48.06999999999999,-,12/13/2024,Break,personally graded,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI HAUNTED HOOPS #32 JAMAL MURRAY HOLO WEBS,100717951,PSA,10,-,2023,PANINI HAUNTED HOOPS,32,JAMAL MURRAY,HOLO WEBS,-,-,18,-,-,-,12/13/2024,eBay,personally graded,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI HAUNTED HOOPS #1 NIKOLA JOKIC HOLO WEBS,100717950,PSA,10,-,2023,PANINI HAUNTED HOOPS,1,NIKOLA JOKIC,HOLO WEBS,-,-,20,123.84,103.84,-,12/13/2024,eBay,personally graded,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2018 PANINI DONRUSS #177 LUKA DONCIC,100717952,PSA,9,-,2018,PANINI DONRUSS,177,LUKA DONCIC,-,-,-,60,42.46,-17.54,-,12/13/2024,Other auction / marketplace,personally graded,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI THREADS #221 JAMAL MURRAY,53326698,PSA,10,-,2016,PANINI THREADS,221,JAMAL MURRAY,-,-,-,42,43.26,1.259999999999998,-,12/17/2024,eBay,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2018 PANINI STATUS #186 MICHAEL PORTER JR.,46783235,PSA,10,-,2018,PANINI STATUS,186,MICHAEL PORTER JR.,-,-,-,7,15.37,8.37,-,12/17/2024,Private sale,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI REVOLUTION #48 NIKOLA JOKIC ASTRO,85584777,PSA,10,-,2016,PANINI REVOLUTION,48,NIKOLA JOKIC,ASTRO,-,-,120,104.74,-15.260000000000005,-,12/26/2024,eBay,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI COURT KINGS WORKS IN PROGRESS #20 CHRISTIAN BRAUN,76779044,PSA,9,-,2022,PANINI COURT KINGS WORKS IN PROGRESS,20,CHRISTIAN BRAUN,-,-,-,20,14.17,-5.83,-,12/31/2024,eBay,includes shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION FEARLESS #F1 CAITLIN CLARK,96673574,PSA,10,-,2024,PANINI CAITLIN CLARK COLLECTION FEARLESS,F1,CAITLIN CLARK,-,-,-,50,60.16,10.159999999999997,-,01/04/2025,eBay,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 BOWMAN U NOW #49 CAITLIN CLARK,100751675,PSA,10,-,2023,BOWMAN U NOW,49,CAITLIN CLARK,-,-,-,43,45.53,2.530000000000001,-,01/04/2025,eBay,includes shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI PHOENIX PYRO #23 NIKOLA JOKIC GREEN 3/5,100096523,PSA,9,-,2023,PANINI PHOENIX PYRO,23,NIKOLA JOKIC,GREEN,3/5,-,47,45.88,-1.1199999999999974,-,01/04/2025,eBay,includes shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI PRIZM MONOPOLY #2 AARON GORDON SPARKLE,91152172,PSA,10,-,2023,PANINI PRIZM MONOPOLY,2,AARON GORDON,SPARKLE,-,-,75,-,-,-,01/05/2025,Other auction / marketplace,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,1990 FLEER #48 ALEX ENGLISH,92891272,PSA,10,-,1990,FLEER,48,ALEX ENGLISH,-,-,-,25,20.18,-4.82,-,01/13/2025,eBay,includes shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,1992 TOPPS #281 DIKEMBE MUTOMBO,91746900,PSA,10,-,1992,TOPPS,281,DIKEMBE MUTOMBO,-,-,-,16,19.96,3.960000000000001,-,01/13/2025,eBay,includes shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 BOWMAN UNIVERSITY CHROME BOWMAN CHROME PROSPECTS AUTOGRAPHS #CW CODY WILLIAMS LAVA REFRACTOR 130/199,96102054,PSA,10,-,2023,BOWMAN UNIVERSITY CHROME BOWMAN CHROME PROSPECTS AUTOGRAPHS,CW,CODY WILLIAMS,LAVA REFRACTOR,130/199,-,15,11.02,-3.9800000000000004,-,01/13/2025,eBay,includes shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI PRIZM MONOPOLY #2 AARON GORDON GO,96957078,PSA,10,-,2023,PANINI PRIZM MONOPOLY,2,AARON GORDON,GO,-,-,15,49.01,34.01,-,01/14/2025,eBay,includes shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI PRIZM MOSAIC #42 JAMAL MURRAY,95737458,PSA,10,-,2016,PANINI PRIZM MOSAIC,42,JAMAL MURRAY,-,-,-,48,41.06,-6.939999999999998,-,01/14/2025,eBay,includes shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION FEARLESS #F2 CAITLIN CLARK,100509090,PSA,10,-,2024,PANINI CAITLIN CLARK COLLECTION FEARLESS,F2,CAITLIN CLARK,-,-,-,67,69.52,2.519999999999996,-,01/16/2025,eBay,includes shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI SELECT WNBA EN FUEGO #14 CAITLIN CLARK,101258036,PSA,9,-,2024,PANINI SELECT WNBA EN FUEGO,14,CAITLIN CLARK,-,-,-,60,51.42,-8.579999999999998,-,01/17/2025,Private sale,including shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI MOSAIC #43 JAMAL MURRAY ORANGE FLUORESCENT 14/25,100304625,PSA,10,-,2023,PANINI MOSAIC,43,JAMAL MURRAY,ORANGE FLUORESCENT,14/25,-,35,27.22,-7.780000000000001,-,01/24/2025,eBay,includes shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI PRESTIGE ACETATE ROOKIES #17 JAMAL MURRAY,76775322,PSA,10,-,2016,PANINI PRESTIGE ACETATE ROOKIES,17,JAMAL MURRAY,-,-,-,59,65.84,6.840000000000003,-,02/16/2025,eBay,includes shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION REIGNING 3'S #R1 CAITLIN CLARK VORTEX 118/399,103959350,PSA,10,-,2024,PANINI CAITLIN CLARK COLLECTION REIGNING 3'S,R1,CAITLIN CLARK,VORTEX,118/399,-,20,195.61,175.61,-,03/03/2025,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION CAMPUS LEGENDS #CL1 CAITLIN CLARK VORTEX 361/399,103959349,PSA,7,-,2024,PANINI CAITLIN CLARK COLLECTION CAMPUS LEGENDS,CL1,CAITLIN CLARK,VORTEX,361/399,-,20,33.43,13.43,-,03/03/2025,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI PHOENIX #256 VICTOR WEMBANYAMA RED ICE,103959358,PSA,9,-,2023,PANINI PHOENIX,256,VICTOR WEMBANYAMA,RED ICE,-,-,20,55.86,35.86,-,03/03/2025,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION DONRUSS #8 CAITLIN CLARK POINTED STARS 194/299,103959348,PSA,9,-,2024,PANINI CAITLIN CLARK COLLECTION DONRUSS,8,CAITLIN CLARK,POINTED STARS,194/299,-,20,34.13,14.130000000000003,-,03/03/2025,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION RECORD BREAKER #RBCC CAITLIN CLARK,103959357,PSA,8,-,2024,PANINI CAITLIN CLARK COLLECTION RECORD BREAKER,RBCC,CAITLIN CLARK,-,-,-,20,20.52,0.5199999999999996,-,03/03/2025,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI PRIZM #12 AARON GORDON SNAKESKIN PRIZM,103959376,PSA,9,-,2023,PANINI PRIZM,12,AARON GORDON,SNAKESKIN PRIZM,-,-,47,46.95,-0.04999999999999716,-,03/03/2025,eBay,eBay $27. graded $20,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI SELECT WNBA #72 CAITLIN CLARK PINK ICE,103959352,PSA,10,-,2024,PANINI SELECT WNBA,72,CAITLIN CLARK,PINK ICE,-,-,140,320.14,180.14,-,03/03/2025,Card show,graded myself ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION HIGHLIGHTS #H14 CAITLIN CLARK VORTEX 158/399,103959351,PSA,9,-,2024,PANINI CAITLIN CLARK COLLECTION HIGHLIGHTS,H14,CAITLIN CLARK,VORTEX,158/399,-,20,29.94,9.940000000000001,-,04/15/2025,Other,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI REVOLUTION #109 CHRISTIAN BRAUN CHINESE NEW YEAR-HOLO GOLD 2/8,103959359,PSA,9,-,2022,PANINI REVOLUTION,109,CHRISTIAN BRAUN,CHINESE NEW YEAR-HOLO GOLD,2/8,-,30,-,-,-,12/15/2023,Break,$10 plus grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN #165 CHRISTIAN BRAUN ELECTRIC ETCH RED 3/5,103959360,PSA,9,-,2022,PANINI OBSIDIAN,165,CHRISTIAN BRAUN,ELECTRIC ETCH RED,3/5,-,100,-,-,-,04/14/2023,eBay,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN #195 PEYTON WATSON ELECTRIC ETCH NEON FLOOD,103959361,PSA,9,-,2022,PANINI OBSIDIAN,195,PEYTON WATSON,ELECTRIC ETCH NEON FLOOD,-,-,25,96.31,71.31,-,04/14/2024,eBay,$5 plus grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN #195 PEYTON WATSON ELECTRIC ETCH CONTRA FOTL 3/3,103959362,PSA,9,-,2022,PANINI OBSIDIAN,195,PEYTON WATSON,ELECTRIC ETCH CONTRA FOTL,3/3,-,45,-,-,-,04/14/2024,eBay,$23 plus grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN #195 PEYTON WATSON ELECTRIC ETCH LUCKY ENVELOPES 4/8,103959363,PSA,10,-,2022,PANINI OBSIDIAN,195,PEYTON WATSON,ELECTRIC ETCH LUCKY ENVELOPES,4/8,-,25,184.91,159.91,-,04/14/2023,eBay,$5 plus grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI PHOENIX COURT OF THE KINGS #8 NIKOLA JOKIC YELLOW 19/35,103959365,PSA,9,-,2023,PANINI PHOENIX COURT OF THE KINGS,8,NIKOLA JOKIC,YELLOW,19/35,-,38,63.74,25.740000000000002,-,12/15/2024,eBay,$18 plus grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI PHOENIX MYSTIQUE #4 NIKOLA JOKIC YELLOW 17/35,103959366,PSA,9,-,2023,PANINI PHOENIX MYSTIQUE,4,NIKOLA JOKIC,YELLOW,17/35,-,60,66.78,6.780000000000001,-,12/15/2024,eBay,$40 plus grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2021 PANINI COURT KINGS AURORA #11 NIKOLA JOKIC,103959367,PSA,8,-,2021,PANINI COURT KINGS AURORA,11,NIKOLA JOKIC,-,-,-,40,38.41,-1.5900000000000034,-,04/15/2024,eBay,$20 plus grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI MOSAIC #257 VICTOR WEMBANYAMA REACTIVE BLUE,103959368,PSA,10,-,2023,PANINI MOSAIC,257,VICTOR WEMBANYAMA,REACTIVE BLUE,-,-,20,142.12,122.12,-,12/15/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN #111 NIKOLA JOKIC ELECTRIC ETCH BLUE FLOOD FOTL 8/16,103959369,PSA,9,-,2022,PANINI OBSIDIAN,111,NIKOLA JOKIC,ELECTRIC ETCH BLUE FLOOD FOTL,8/16,-,80,79.53,-0.46999999999999886,-,04/15/2023,eBay,$60 plus grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN TUNNEL VISION #9 NIKOLA JOKIC ELECTRIC ETCH YELLOW FLOOD 1/10,103959370,PSA,6,-,2022,PANINI OBSIDIAN TUNNEL VISION,9,NIKOLA JOKIC,ELECTRIC ETCH YELLOW FLOOD,1/10,-,103,-,-,-,04/15/2023,eBay,$83 plus grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN EQUINOX #19 NIKOLA JOKIC ELECTRIC ETCH YELLOW FLOOD 8/10,103959371,PSA,10,-,2022,PANINI OBSIDIAN EQUINOX,19,NIKOLA JOKIC,ELECTRIC ETCH YELLOW FLOOD,8/10,-,105,132.18,27.180000000000007,-,04/14/2023,eBay,$85 plus grading,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN #111 NIKOLA JOKIC ELECTRIC ETCH YELLOW FLOOD 4/10,103959372,PSA,10,-,2022,PANINI OBSIDIAN,111,NIKOLA JOKIC,ELECTRIC ETCH YELLOW FLOOD,4/10,-,120,-,-,-,04/15/2023,eBay,$100 plus grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN #165 CHRISTIAN BRAUN ELECTRIC ETCH YELLOW FLOOD 1/10,103959373,PSA,10,-,2022,PANINI OBSIDIAN,165,CHRISTIAN BRAUN,ELECTRIC ETCH YELLOW FLOOD,1/10,-,167,162.59,-4.409999999999997,-,04/14/2023,eBay,$147 plus $20 for grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI COURT KINGS PORTRAITS #67 NIKOLA JOKIC 16/175,103959374,PSA,9,-,2016,PANINI COURT KINGS PORTRAITS,67,NIKOLA JOKIC,-,16/175,-,35,36.57,1.5700000000000003,-,05/15/2024,eBay,$15 plus grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI MOSAIC #160 AARON GORDON GOLD FAST BREAK 9/10,103959375,PSA,8,-,2022,PANINI MOSAIC,160,AARON GORDON,GOLD FAST BREAK,9/10,-,41,-,-,-,12/15/2024,eBay,$21 plus grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN ROOKIE ERUPTION AUTOGRAPHS #REBDC CHRISTIAN BRAUN ELECTRIC ETCH GREEN 22/25,103841525,PSA,9,10,2022,PANINI OBSIDIAN ROOKIE ERUPTION AUTOGRAPHS,REBDC,CHRISTIAN BRAUN,ELECTRIC ETCH GREEN,22/25,-,75,43.11,-31.89,-,03/21/2025,eBay,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI PRESTIGE PRESTIGIOUS PREMIERES #25 JAMAL MURRAY AUTOGRAPH,103841523,PSA,8,10,2016,PANINI PRESTIGE PRESTIGIOUS PREMIERES,25,JAMAL MURRAY,AUTOGRAPH,-,-,80,220.39,140.39,-,03/21/2025,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI CONTENDERS DRAFT PICKS #103 JAMAL MURRAY AUTOGRAPH-DRAFT TICKET 62/99,103841524,PSA,9,10,2016,PANINI CONTENDERS DRAFT PICKS,103,JAMAL MURRAY,AUTOGRAPH-DRAFT TICKET,62/99,-,65,106.33,41.33,-,03/21/2025,eBay,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
